post,url
2016-10-07-ays-digest-7-10-heroes-of-peace-the-white-helmets-6fbbfb06cb72.md,https://miro.medium.com/max/1200/1*i8sGd4DMYyVk56Wfb8FI4g.jpeg
2016-10-07-ays-digest-7-10-heroes-of-peace-the-white-helmets-6fbbfb06cb72.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14467328_10154644110651777_1736821174626680832_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=776239&_nc_ohc=Qh7qyib4qOIAX8EDXYx&_nc_ht=scontent.flis6-1.fna&oh=00_AfCyZQQXwTvKo2r9grdL8_iBuglsZEtUv2zQfeI0-LO93w&oe=639BDDEB
2016-10-09-ays-digest-8-10-souda-fires-trigger-new-tragedies-b901d1d7a70c.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14645632_1769449113309939_3071029361852284928_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=776239&_nc_ohc=PG8Udy9BnJcAX8tR37k&_nc_ht=scontent.flis6-1.fna&oh=00_AfAXZOjAcLCIGO5U3i3PNuMcR9Ai2MutyzDjBluI9jzIiQ&oe=639A6513
2016-10-10-ays-digest-10-10-some-of-the-kids-enrolled-in-greek-schools-majority-still-awaits-9b4168764b20.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14645728_338844149786674_4225674801907236864_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=776239&_nc_ohc=LSKnExOxPKcAX9pK79d&_nc_ht=scontent.flis6-1.fna&oh=00_AfCV_-HEo4vC3wBhXQ1my_plDEInSX8JsLFFfbF5jqV2wg&oe=639AAC5E
2016-10-15-ays-news-digest-14-10-manipulation-and-confusion-for-refugees-on-both-sides-of-europe-a5abdb76ccba.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14511139_557750021083534_6699568693023604736_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=776239&_nc_ohc=m3tfNKMaXlsAX-nKwj6&_nc_ht=scontent.flis6-1.fna&oh=00_AfCRSg5QaR8MimEKPIzxvoFRl4jBBJSe_h3JRWPCayeh0w&oe=639BFDA3
2016-10-16-ays-digest-15-10-four-hospitals-and-an-ambulance-bombed-in-aleppo-b205b92435de.md,http://beta.bhmac.org/mapa.jpg
2016-10-17-ays-digest-17-10-city-of-loves-is-in-reality-a-city-of-tents-many-refugees-with-no-other-then-bfc55143ac26.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14694202_1302722089780293_1947588461225574400_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=776239&_nc_ohc=eIRg0uojtJMAX_8mf1S&_nc_ht=scontent.flis6-1.fna&oh=00_AfCE1ZnOUt59xLBtHJip55Emj9wEilH8ukxXolbITWt5Uw&oe=639B5329
2016-10-17-ays-digest-17-10-city-of-loves-is-in-reality-a-city-of-tents-many-refugees-with-no-other-then-bfc55143ac26.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14646239_10157487228585447_8231479327305236480_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=776239&_nc_ohc=Q6-zFeoqxGkAX_4B64z&_nc_ht=scontent.flis6-1.fna&oh=00_AfAh-Gfl0POzVbGsO3TRm8uFFPebw2b6hMiNFR-z16TYeA&oe=639AA28F
2016-10-21-ays-news-digest-20-10-msf-calls-attention-to-squalid-conditions-in-greek-camps-49e2149b4e66.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14646177_1265504036824222_8027104154633633792_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=776239&_nc_ohc=IndccCPT1SUAX8WVxBE&_nc_ht=scontent.flis6-1.fna&oh=00_AfDLvrVHmhd2eCp54vWq9slZzACkDb1wUoPiajhFBXv2Rg&oe=639BBDD5
2016-10-23-ays-daily-digest-23-10-liberté-égalité-fraternité-but-not-for-everybody-a448e8a0f73e.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14511107_1308798139172688_6230623590752976896_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=776239&_nc_ohc=EI2g6GmBnuwAX8cRAEI&_nc_ht=scontent.flis6-1.fna&oh=00_AfClx0QCeDqTe0qCP2fLX2xyqG2uzUH-_mjPjtdpkBVc5w&oe=639B21C9
